date,BlkCnt,CapMrktCurUSD,TxCnt,AdrActCnt,PriceUSD,Trends,FearGreed
2020-05-18,128.0,178783137073.02304,275691.0,970423.0,9726.85002209235,0.67625,0.5
2020-05-19,115.0,179292877588.71863,272964.0,890493.0,9754.20146201052,0.7212000000000001,0.5
2020-05-20,115.0,174915846484.68948,276199.0,865708.0,9515.702550263,0.8004166666666667,0.52
2020-05-21,131.0,166708415917.14926,302259.0,928630.0,9068.80122933957,0.84125,0.49
2020-05-22,111.0,168424610263.70425,278942.0,797526.0,9161.81503389831,0.7745833333333333,0.42
2020-05-23,119.0,168833062758.505,267042.0,848702.0,9183.66212507305,0.7083333333333333,0.4
2020-05-24,116.0,161900721760.6346,216545.0,807939.0,8806.23065715956,0.71625,0.43
2020-05-25,125.0,163800615663.85916,267395.0,828919.0,8909.19258153127,0.7779166666666667,0.41
2020-05-26,124.0,162445913210.84167,286759.0,852839.0,8835.13725336061,0.6115999999999999,0.39
2020-05-27,138.0,168593394454.69797,299984.0,913075.0,9169.05743921683,0.5129166666666667,0.39
2020-05-28,131.0,175941484285.82523,299064.0,866559.0,9568.26185300994,0.50875,0.41
2020-05-29,127.0,173450984634.7825,282773.0,852420.0,9432.41333343074,0.5,0.48
2020-05-30,156.0,178228052044.65002,284116.0,902498.0,9691.68049117475,0.48333333333333334,0.48
2020-05-31,150.0,173497171389.70322,258529.0,801889.0,9433.94384663939,0.48333333333333334,0.51
2020-06-01,134.0,187578142707.61478,302044.0,870833.0,10199.1350542373,0.48625,0.5
2020-06-02,129.0,174954690421.54974,308948.0,899961.0,9512.34653302163,0.7464,0.56
2020-06-03,139.0,177352731439.34332,311153.0,950153.0,9642.27340035067,0.64125,0.48
2020-06-04,151.0,180508843644.39648,315771.0,884109.0,9813.36067913501,0.6133333333333334,0.54
2020-06-05,179.0,177365595706.9578,331389.0,918647.0,9641.8916225599,0.59625,0.53
2020-06-06,196.0,177870046318.4762,281291.0,771819.0,9668.67053857393,0.5491666666666667,0.54
